MIO,function,PS_IO_bank,register,mask,value,IO_standard,pullup,fast_slew,TRI_ENABLE
0,GPIO: ps_key1,500,0xF8000700,0x00003FFF,0x00001600,LVCMOS33,1,0,0
1,QSPI0 CS0#,500,0xF8000704,0x00003FFF,0x00001602,LVCMOS33,1,0,0
2,QSPI0 DQ0,500,0xF8000708,0x00003FFF,0x00000602,LVCMOS33,0,0,0
3,QSPI0 DQ1,500,0xF800070C,0x00003FFF,0x00000602,LVCMOS33,0,0,0
4,QSPI0 DQ2,500,0xF8000710,0x00003FFF,0x00000602,LVCMOS33,0,0,0
5,QSPI0 DQ3,500,0xF8000714,0x00003FFF,0x00000602,LVCMOS33,0,0,0
6,QSPI0 SCLK,500,0xF8000718,0x00003FFF,0x00000602,LVCMOS33,0,0,0
7,GPIO: ps_led2,500,0xF800071C,0x00003FFF,0x00000600,LVCMOS33,0,0,0
8,GPIO: ps_led1 (QSPI feedback clock not selected),500,0xF8000720,0x00003FFF,0x00000600,LVCMOS33,0,0,0
9,SD0 card detect (input tap),500,0xF8000724,0x00003F01,0x00001601,LVCMOS33,1,0,1
10,UART0 RX,500,0xF8000728,0x00003FFF,0x000016E1,LVCMOS33,1,0,1
11,UART0 TX,500,0xF800072C,0x00003FFF,0x000016E0,LVCMOS33,1,0,0
12,GPIO: ps_key2,500,0xF8000730,0x00003FFF,0x00001600,LVCMOS33,1,0,0
13,GPIO: USB0 PHY reset,500,0xF8000734,0x00003FFF,0x00001600,LVCMOS33,1,0,0
14,I2C0 SCL,500,0xF8000738,0x00003FFF,0x00001640,LVCMOS33,1,0,0
15,I2C0 SDA,500,0xF800073C,0x00003FFF,0x00001640,LVCMOS33,1,0,0
16,GEM0 TX_CLK,501,0xF8000740,0x00003FFF,0x00001202,LVCMOS18,1,0,0
17,GEM0 TXD0,501,0xF8000744,0x00003FFF,0x00001202,LVCMOS18,1,0,0
18,GEM0 TXD1,501,0xF8000748,0x00003FFF,0x00001202,LVCMOS18,1,0,0
19,GEM0 TXD2,501,0xF800074C,0x00003FFF,0x00001202,LVCMOS18,1,0,0
20,GEM0 TXD3,501,0xF8000750,0x00003FFF,0x00001202,LVCMOS18,1,0,0
21,GEM0 TX_CTL,501,0xF8000754,0x00003FFF,0x00001202,LVCMOS18,1,0,0
22,GEM0 RX_CLK,501,0xF8000758,0x00003FFF,0x00001203,LVCMOS18,1,0,1
23,GEM0 RXD0,501,0xF800075C,0x00003FFF,0x00001203,LVCMOS18,1,0,1
24,GEM0 RXD1,501,0xF8000760,0x00003FFF,0x00001203,LVCMOS18,1,0,1
25,GEM0 RXD2,501,0xF8000764,0x00003FFF,0x00001203,LVCMOS18,1,0,1
26,GEM0 RXD3,501,0xF8000768,0x00003FFF,0x00001203,LVCMOS18,1,0,1
27,GEM0 RX_CTL,501,0xF800076C,0x00003FFF,0x00001203,LVCMOS18,1,0,1
28,USB0 ULPI D4,501,0xF8000770,0x00003FFF,0x00001204,LVCMOS18,1,0,0
29,USB0 ULPI DIR,501,0xF8000774,0x00003FFF,0x00001205,LVCMOS18,1,0,1
30,USB0 ULPI STP,501,0xF8000778,0x00003FFF,0x00001204,LVCMOS18,1,0,0
31,USB0 ULPI NXT,501,0xF800077C,0x00003FFF,0x00001205,LVCMOS18,1,0,1
32,USB0 ULPI D0,501,0xF8000780,0x00003FFF,0x00001204,LVCMOS18,1,0,0
33,USB0 ULPI D1,501,0xF8000784,0x00003FFF,0x00001204,LVCMOS18,1,0,0
34,USB0 ULPI D2,501,0xF8000788,0x00003FFF,0x00001204,LVCMOS18,1,0,0
35,USB0 ULPI D3,501,0xF800078C,0x00003FFF,0x00001204,LVCMOS18,1,0,0
36,USB0 ULPI CLK,501,0xF8000790,0x00003FFF,0x00001205,LVCMOS18,1,0,1
37,USB0 ULPI D5,501,0xF8000794,0x00003FFF,0x00001204,LVCMOS18,1,0,0
38,USB0 ULPI D6,501,0xF8000798,0x00003FFF,0x00001204,LVCMOS18,1,0,0
39,USB0 ULPI D7,501,0xF800079C,0x00003FFF,0x00001204,LVCMOS18,1,0,0
40,SD0 CLK,501,0xF80007A0,0x00003FFF,0x00001280,LVCMOS18,1,0,0
41,SD0 CMD,501,0xF80007A4,0x00003FFF,0x00001280,LVCMOS18,1,0,0
42,SD0 D0,501,0xF80007A8,0x00003FFF,0x00001280,LVCMOS18,1,0,0
43,SD0 D1,501,0xF80007AC,0x00003FFF,0x00001280,LVCMOS18,1,0,0
44,SD0 D2,501,0xF80007B0,0x00003FFF,0x00001280,LVCMOS18,1,0,0
45,SD0 D3,501,0xF80007B4,0x00003FFF,0x00001280,LVCMOS18,1,0,0
46,SD1 D0,501,0xF80007B8,0x00003FFF,0x00001280,LVCMOS18,1,0,0
47,SD1 CMD,501,0xF80007BC,0x00003FFF,0x00001280,LVCMOS18,1,0,0
48,SD1 CLK,501,0xF80007C0,0x00003FFF,0x00001280,LVCMOS18,1,0,0
49,SD1 D1,501,0xF80007C4,0x00003FFF,0x00001280,LVCMOS18,1,0,0
50,SD1 D2,501,0xF80007C8,0x00003FFF,0x00001280,LVCMOS18,1,0,0
51,SD1 D3,501,0xF80007CC,0x00003FFF,0x00001280,LVCMOS18,1,0,0
52,GEM0 MDC,501,0xF80007D0,0x00003FFF,0x00001280,LVCMOS18,1,0,0
53,GEM0 MDIO,501,0xF80007D4,0x00003FFF,0x00001280,LVCMOS18,1,0,0
